scenario_id,category,difficulty,success,score,latency_ms,actual_answer,expected_answer
temporal_011,temporal,medium,True,1.000,0.039,Current preferred OS is NixOS,NixOS
memory_drift_001,memory_drift,medium,True,1.000,0.020,Current preferred workspace is coworking,coworking
memory_poisoning_014,memory_poisoning,medium,True,1.000,0.017,Trusted release approver is Aditya,Aditya
recall_010,recall,medium,True,1.000,0.016,Favorite simulation stack is Gazebo,Gazebo
correction_015,correction,medium,True,1.000,0.015,budget cap is 600,600
correction_014,correction,medium,True,1.000,0.015,preferred branch is main,main
memory_poisoning_007,memory_poisoning,medium,True,1.000,0.015,Trusted trusted maintainer is Aditya,Aditya
recall_011,recall,medium,True,1.000,0.016,preferred robotics middleware is ROS 2,ROS 2
pii_deletion_001,pii_deletion,medium,True,1.000,0.007,I do not know.,I do not know
temporal_005,temporal,medium,True,1.000,0.025,This week database is Qdrant,Qdrant
hallucination_003,hallucination,medium,True,1.000,0.007,I do not know.,I do not know
agent_disagreement_003,agent_disagreement,medium,True,1.000,0.042,A contradiction is present in memory; this needs clarification.,contradiction
noisy_memory_005,noisy_memory,medium,True,1.000,0.083,Current benchmark review cadence is weekly Friday review,weekly Friday review
recall_004,recall,medium,True,1.000,0.015,Preferred coffee is cold brew,cold brew
continuity_015,continuity,medium,False,0.000,0.011,I do not know.,v0.4.0
long_horizon_010,long_horizon,medium,True,1.000,0.097,Long horizon target project codename is Horizon Alpine,Horizon Alpine
continuity_019,continuity,medium,False,0.000,0.011,I do not know.,leak rate
continuity_001,continuity,medium,True,1.000,0.017,Favorite robot brand is Universal Robots,Universal Robots
memory_leakage_001,memory_leakage,medium,True,1.000,0.024,I do not know.,I do not know
preference_evolution_001_previous,preference_evolution,medium,True,1.000,0.022,Previous beverage preference was tea,tea
recall_017,recall,medium,True,1.000,0.019,preferred embedding model family is sentence transformers,sentence transformers
contradiction_012,contradiction,medium,True,1.000,0.024,A contradiction is present in memory; this needs clarification.,contradiction
forgetting_012,forgetting,medium,True,1.000,0.024,I do not know.,I do not know
hierarchical_memory_001,hierarchical_memory,medium,True,1.000,0.022,Hierarchy path for person Nila is Acme Robotics > AI Platform > Memory Systems > Nila,Acme Robotics > AI Platform > Memory Systems > Nila
stale_memory_002,stale_memory,medium,True,1.000,0.013,Current city is Delhi,Delhi
